"type","duration","distance","hour","day","month","year"
"scooter",245,363,17,6,9,2018
"scooter",483,2224,2,5,9,2018
"scooter",1059,1500,12,5,9,2018
"scooter",1213,2132,20,0,9,2018
"scooter",207,366,18,5,9,2018
"scooter",626,1097,15,0,9,2018
"scooter",530,480,13,5,9,2018
"scooter",319,704,16,4,9,2018
"scooter",284,690,7,6,9,2018
"scooter",287,664,9,3,9,2018
"scooter",408,0,21,5,9,2018
"scooter",1027,1855,12,0,9,2018
"bicycle",406,386,9,4,9,2018
"scooter",200,548,17,3,9,2018
"scooter",169,680,18,0,9,2018
"scooter",218,19,10,4,9,2018
"scooter",86,143,23,2,9,2018
"scooter",278,907,13,2,9,2018
"scooter",779,1830,11,6,9,2018
"scooter",131,284,11,2,9,2018
